id,immagine,data_avvistamento,image_url,latitude,longitude,nome_classe,nome_scientifico,nome_comune,nome_famiglia,luogo,nome_breve
245745595,245745595.jpg,5-Oct-2024,https://static.inaturalist.org/photos/438581378/medium.jpeg,45.44143586,12.11516258,Piante,Acer campestre,Acero campestre,Sapindaceae,AREA UMIDA COMUNETTO,comunetto
32045970,32045970.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50221994/medium.jpg,45.44231549,12.1159976,Piante,Amaranthus retroflexus,Amaranto a radice rossa,Amaranthaceae,AREA UMIDA COMUNETTO,comunetto
32045963,32045963.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50221824/medium.jpg,45.44071638,12.11558504,Piante,Amorpha fruticosa,Amorfa fruticosa,Fabaceae,AREA UMIDA COMUNETTO,comunetto
32045962,32045962.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50221699/medium.jpg,45.44107681,12.11541338,Uccelli,Ardea alba,Airone bianco maggiore,Ardeidae,AREA UMIDA COMUNETTO,comunetto
32045968,32045968.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50221960/medium.jpg,45.44127966,12.1161161,Uccelli,Ardea ibis,Airone guardabuoi,Ardeidae,AREA UMIDA COMUNETTO,comunetto
84898015,84898015.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139594859/medium.jpg,45.44081645,12.11691922,Insetti,Chrysocrambus linetella,Tignola delle graminacee a banda arancione,Crambidae,AREA UMIDA COMUNETTO,comunetto
32045973,32045973.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222109/medium.jpg,45.44101266,12.11466479,Piante,Cichorium intybus,Cicoria comune,Asteraceae,AREA UMIDA COMUNETTO,comunetto
245749164,245749164.jpg,5-Oct-2024,https://static.inaturalist.org/photos/438588394/medium.jpeg,45.44115061,12.11496029,Piante,Cirsium arvense,Cardo campestre,Asteraceae,AREA UMIDA COMUNETTO,comunetto
32045975,32045975.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222126/medium.jpg,45.44033515,12.11597493,Piante,Convolvulus arvensis,Convolvolo,Convolvulaceae,AREA UMIDA COMUNETTO,comunetto
84896077,84896077.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139591543/medium.jpg,45.44081645,12.11691922,Insetti,Crocothemis erythraea,Frecciarossa,Libellulidae,AREA UMIDA COMUNETTO,comunetto
84896073,84896073.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139590936/medium.jpg,45.44081645,12.11691922,Pesci,Cyprinus carpio,Carpa,Cyprinidae,AREA UMIDA COMUNETTO,comunetto
32045982,32045982.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222232/medium.jpg,45.43890071,12.11516966,Piante,Dipsacus fullonum,Cardo dei lanaioli,Caprifoliaceae,AREA UMIDA COMUNETTO,comunetto
32045972,32045972.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222084/medium.jpg,45.44016275,12.11520124,Piante,Erigeron canadensis,Saeppola canadese,Asteraceae,AREA UMIDA COMUNETTO,comunetto
32045971,32045971.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222045/medium.jpg,45.44190411,12.11649113,Piante,Eupatorium cannabinum,Canapa acquatica,Asteraceae,AREA UMIDA COMUNETTO,comunetto
32045986,32045986.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222333/medium.jpg,45.43880077,12.11431135,Piante,Euphorbia prostrata,Euforbia prostrata,Euphorbiaceae,AREA UMIDA COMUNETTO,comunetto
84898012,84898012.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139594046/medium.jpeg,45.44081645,12.11691922,Piante,Galega officinalis,Capraggine comune,Fabaceae,AREA UMIDA COMUNETTO,comunetto
32045976,32045976.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222169/medium.jpg,45.43950296,12.11452593,Piante,Humulus lupulus,Luppolo comune,Cannabaceae,AREA UMIDA COMUNETTO,comunetto
84898011,84898011.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139594098/medium.jpeg,45.44081645,12.11691922,Insetti,Melanogryllus desertus,Grillo del deserto,Gryllidae,AREA UMIDA COMUNETTO,comunetto
32208114,32208114.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50496163/medium.jpg,45.43970698,12.11479699,Insetti,Melitaea didyma,Fritillaria maculata,Nymphalidae,AREA UMIDA COMUNETTO,comunetto
32045978,32045978.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222209/medium.jpg,45.43986146,12.11418629,Piante,Nuphar lutea,Ninfea gialla,Nymphaeaceae,AREA UMIDA COMUNETTO,comunetto
84901047,84901047.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139597138/medium.jpeg,45.44081645,12.11691922,Piante,Nuphar lutea,Ninfea gialla,Nymphaeaceae,AREA UMIDA COMUNETTO,comunetto
84898013,84898013.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139594729/medium.jpeg,45.44081645,12.11691922,Insetti,Orthetrum albistylum,Libellula dalla coda bianca,Libellulidae,AREA UMIDA COMUNETTO,comunetto
250676383,250676383.jpg,20-Jun-2024,https://inaturalist-open-data.s3.amazonaws.com/photos/448379617/medium.jpg,45.44233659,12.11737858,Insetti,Orthetrum brunneum,Frecciazzurra celeste,Libellulidae,AREA UMIDA COMUNETTO,comunetto
245748609,245748609.jpg,5-Oct-2024,https://static.inaturalist.org/photos/438587236/medium.jpeg,45.44241623,12.11562788,Piante,Phragmites australis,Canna comune,Poaceae,AREA UMIDA COMUNETTO,comunetto
32045984,32045984.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222269/medium.jpg,45.43943313,12.1145903,Piante,Plantago lanceolata,Piantaggine lanciuola,Plantaginaceae,AREA UMIDA COMUNETTO,comunetto
32045985,32045985.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222288/medium.jpg,45.43920729,12.11598505,Piante,Plantago major,Piantaggine maggiore,Plantaginaceae,AREA UMIDA COMUNETTO,comunetto
32045983,32045983.jpg,3-Sep-2019,https://static.inaturalist.org/photos/50222251/medium.jpg,45.43894588,12.1145903,Piante,Populus alba,Pioppo bianco,Salicaceae,AREA UMIDA COMUNETTO,comunetto
84896084,84896084.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139591844/medium.jpg,45.44081645,12.11691922,Uccelli,Sterna hirundo,Sterna comune,Laridae,AREA UMIDA COMUNETTO,comunetto
84896068,84896068.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139587511/medium.jpg,45.44081645,12.11691922,Rettili,Trachemys scripta,Testuggine palustre americana,Emydidae,AREA UMIDA COMUNETTO,comunetto
72666409,72666409.jpg,2-Apr-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/118517279/medium.jpeg,45.44132833,12.11684889,Funghi,Xanthoria parietina,Lichene giallo comune,Teloschistaceae,AREA UMIDA COMUNETTO,comunetto
248603310,248603310.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444236473/medium.jpeg,45.44695437,12.08891137,Piante,Acer negundo,Acero americano,Sapindaceae,SCOLO PIONCA,pionca
248608627,248608627.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444246466/medium.jpeg,45.44392165,12.08674715,Piante,Alnus glutinosa,Ontano comune,Betulaceae,SCOLO PIONCA,pionca
86335039,86335039.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142211652/medium.jpeg,45.44433436,12.08335449,Piante,Ballota nigra,Marrubio Selvatico,Lamiaceae,SCOLO PIONCA,pionca
86335034,86335034.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142210299/medium.jpeg,45.44433436,12.08335449,Piante,Broussonetia papyrifera,Gelso da carta,Moraceae,SCOLO PIONCA,pionca
