specie,scientifico_specie,descrizione,specie_reins_url
Farnia,Quercus robur,Migliora la fertilità del suolo con la caduta delle foglie e favorisce la biodiversità.,https://inaturalist-open-data.s3.amazonaws.com/photos/110607739/medium.jpeg
Carpino bianco,Carpinus betulus,Protegge il suolo dall’erosione e contribuisce alla stabilità ecologica.,https://static.inaturalist.org/photos/46763976/medium.jpeg
Acero campestre,Acer campestre,Arricchisce il suolo di sostanza organica e offre rifugio a insetti utili.,https://inaturalist-open-data.s3.amazonaws.com/photos/451583323/medium.jpeg
Frassino ossifilo,Fraxinus angustifolia,Favorisce la biodiversità e ha un buon effetto drenante sul terreno.,https://inaturalist-open-data.s3.amazonaws.com/photos/10861787/medium.jpeg
Pioppo,Populus spp.,Cresce rapidamente e stabilizza i terreni umidi e migliora la qualità dell’aria.,https://inaturalist-open-data.s3.amazonaws.com/photos/1966840/medium.jpg
Salice,Salix spp.,Ottimo per il consolidamento di sponde e zone umide inoltre assorbe bene l’acqua in eccesso.,https://inaturalist-open-data.s3.amazonaws.com/photos/21231731/medium.jpeg
Olmo campestre,Ulmus minor,Migliora la stabilità del suolo: favorisce la biodiversità e si adatta bene a contesti degradati.,https://inaturalist-open-data.s3.amazonaws.com/photos/124542166/medium.jpeg
Ontano nero,Alnus glutinosa,Migliora i suoli umidi grazie alla fissazione dell’azoto: fondamentale nei boschi ripariali.,https://inaturalist-open-data.s3.amazonaws.com/photos/407344939/medium.jpg
Tarabuso,Botaurus stellaris,Uccello raro e protetto: indicatore di zone umide in salute.,https://inaturalist-open-data.s3.amazonaws.com/photos/60579218/medium.jpg
Tarabusino,Ixobrychus minutus,Piccolo airone legato ai canneti: contribuisce al controllo di insetti acquatici.,https://static.inaturalist.org/photos/42935907/medium.jpg
Airone rosso,Ardea purpurea,Predatore di ambienti umidi e utile per l’equilibrio della fauna acquatica.,https://inaturalist-open-data.s3.amazonaws.com/photos/2046009/medium.jpg
Rana di Lataste,Rana latastei,Anfibio endemico e minacciato: indicatore della qualità degli ambienti umidi.,https://inaturalist-open-data.s3.amazonaws.com/photos/96800395/medium.jpeg
Tritone crestato italiano,Triturus carnifex,Anfibio protetto e simbolo di biodiversità nelle zone umide.,https://inaturalist-open-data.s3.amazonaws.com/photos/240867952/medium.jpeg
Carice,Carex spp.,Pianta palustre che stabilizza il terreno e filtra le acque.,https://inaturalist-open-data.s3.amazonaws.com/photos/5582512/medium.jpg
Cannuccia di palude,Phragmites australis,Forma densi canneti che offrono rifugio a molte specie animali.,https://inaturalist-open-data.s3.amazonaws.com/photos/113593857/medium.jpg
Biancospino,Crataegus monogyna,Arbusto rustico che nutre insetti e uccelli e inoltre protegge il suolo.,https://static.inaturalist.org/photos/73530064/medium.jpeg
Elleborine,Epipactis spp.,Orchidee spontanee che arricchiscono la biodiversità dei boschi umidi.,https://inaturalist-open-data.s3.amazonaws.com/photos/84833998/medium.jpg
Orchidea palustre,Anacamptis palustris,Specie rara tipica delle zone umide: indicatore di habitat intatti.,https://inaturalist-open-data.s3.amazonaws.com/photos/1839330/medium.jpg
Spiranthes aestivalis,Spiranthes aestivalis,Orchidea selvatica legata a habitat umidi e ben conservati.,https://static.inaturalist.org/photos/67873082/medium.jpeg
Lisca maggiore,Typha latifolia,Pianta palustre che contribuisce alla stabilità degli argini.,https://inaturalist-open-data.s3.amazonaws.com/photos/4280840/medium.jpeg
Lisca di Laxmann,Typha laxmannii,Erbacea che vive in ambienti umidi: utile per la biodiversità vegetale.,https://static.inaturalist.org/photos/47633409/medium.jpeg
Lisca marittima,Bolboschoenus maritimus,Cresce in aree salmastre e favorisce la colonizzazione di ambienti marginali.,https://static.inaturalist.org/photos/145368226/medium.jpeg
Giunco compresso,Juncus compressus,Pianta tipica delle zone umide: utile per il consolidamento del terreno.,https://inaturalist-open-data.s3.amazonaws.com/photos/449472/medium.jpg
